City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,presidencia roque saenz pena,-26.7852,-60.4388,22.83,54,1,2.87,AR,1673930349
348,dabwali,29.95,74.7333,13.63,26,0,1.72,IN,1673930350
349,adrar,20.5022,-10.0711,16.05,21,96,5.11,MR,1673930155
350,lufkin,31.3382,-94.7291,17.07,96,0,1.54,US,1673930121
351,kudahuvadhoo,2.6708,72.8944,26.22,74,37,2.26,MV,1673930353
352,saint anthony,45.0205,-93.218,1.25,95,100,3.6,US,1673930119
353,thaton,16.9206,97.3714,27.81,43,30,1.35,MM,1673930354
354,hasaki,35.7333,140.8333,6.79,56,96,4.24,JP,1673930355
355,cidreira,-30.1811,-50.2056,23.46,81,73,4.89,BR,1673930356
356,grootfontein,-19.5667,18.1167,17.76,94,99,0.51,NA,1673930358
357,thinadhoo,0.5333,72.9333,26.33,68,85,1.54,MV,1673930055
358,mehamn,71.0357,27.8492,0.95,93,75,2.57,NO,1673930359
359,belyy yar,53.6039,91.3903,-8.06,72,40,6.0,RU,1673930360
360,teya,60.3778,92.6267,-23.42,95,100,2.2,RU,1673930361
361,argelia,2.2556,-77.2488,17.38,98,84,0.24,CO,1673930362
362,matara,5.9485,80.5353,26.99,73,96,4.67,LK,1673930363
